LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-84.9071418,40.683565,,S 150 E,,BERNE,,IN,46711,,90fcd806982a840d
-84.9737211,40.6432409,,W 700 S,,BERNE,,IN,46711,,bb1dc75af678d205
-84.973199,40.6431337,1991,W 700 S,,BERNE,,IN,46711,,3ea74e2cffafcdb2
-84.8400646,40.7763729,2062,N US HWY 33,,DECATUR,,IN,46733,,54ad00dd348f6952
-84.9554462,40.6720929,,W 500 S,,BERNE,,IN,46711,,db704978ddcfdf32
-84.8062878,40.8775595,,E 900 N,,DECATUR,,IN,46733,,ba6501f95a5dd3d7
-84.9164707,40.6662276,1021,E 550 S,,BERNE,,IN,46711,,21fe0a1a6216117b
-84.8995005,40.7832176,2602,E 200 N,,DECATUR,,IN,46733,,25dbe32e0dcbe5a5
-84.890588,40.6049894,9657,S 225 E,,GENEVA,,IN,46740,,e1c7fe6b33df7948
-84.957571,40.6485414,,PARKWAY ST,,BERNE,,IN,46711,,f2ef2e873e126a73
-84.914633,40.6376847,,S 150 E,,BERNE,,IN,46711,,eca58e27366f2b8e
-84.9088108,40.8435434,940,HICKORY CT,,DECATUR,,IN,46733,,0128529fb55b7b74
-84.9109269,40.8433729,797,CHESTNUT CT,,DECATUR,,IN,46733,,fa48ad84d86f66f6
-84.9113179,40.8428612,768,CHESTNUT CT,,DECATUR,,IN,46733,,3139f29fad06a390
-84.910774,40.8421411,708,SYCAMORE ST,,DECATUR,,IN,46733,,2b2325079e969b7f
-85.0321729,40.7576969,4960,W 100 N,,DECATUR,,IN,46733,,bdaa3eeef7e45c6c
-84.8954867,40.6985015,,S 200 E,,MONROE,,IN,46772,,794dd1f0f8d942bd
-84.9181427,40.7134429,,S 100 E,,MONROE,,IN,46772,,5ba222b27e7df402
-84.955859,40.6721524,,W 500 S,,BERNE,,IN,46711,,9448808c823166b5
-84.9242656,40.6812976,635,E 450 S,,BERNE,,IN,46711,,1c3767c4549097fe
-84.9664212,40.6652335,,S 150 W,,BERNE,,IN,46711,,9bc6a7cd57150a80
-85.0633447,40.7435937,,W STATE ROAD 124,,DECATUR,,IN,46733,,e0ab947733cd530b
-84.8169823,40.9074472,6295,E 1100 N,,MONROEVILLE,,IN,46773,,3eca3448b59ee28b
-84.9370545,40.8838371,,N 000 RD,,DECATUR,,IN,46733,,3950775b49bbd99a
-85.0544584,40.8216882,,N 600 W,,DECATUR,,IN,46733,,3562eb74ed52c056
-84.8767664,40.9103463,11327,N 300 E,,DECATUR,,IN,46733,,ec146dd02ed789a3
-84.9429642,40.8324825,,NUTTMAN AVE,,DECATUR,,IN,46733,,5419f9401e8265b4
-84.8590112,40.7578633,788,N SALEM RD,,DECATUR,,IN,46733,,69e7c4e819f92da7
-84.9922751,40.7566938,,W 100 N,,MONROE,,IN,46772,,c572c7e4ffb6a59d
-84.9906003,40.7592779,2837,W 100 N,,MONROE,,IN,46772,,cec7c426966e9399
-84.9934723,40.6754475,4707,S 300 W,,BERNE,,IN,46711,,de1f83f9707b80db
-84.8929027,40.805388,,E US HIGHWAY 33,,DECATUR,,IN,46733,,fb0f0a2b6488a8eb
-84.9440169,40.8324483,,W US HWY 224,,DECATUR,,IN,46733,,aa475d53a6185c4a
-84.9198072,40.7213025,1652,S 100 E,,MONROE,,IN,46772,,a1acb5d14b5b22e5
-84.8184729,40.6485466,6095,E 700 S,,BERNE,,IN,46711,,b86d924568ad09f3
-84.929041,40.8384957,903,N 5TH ST,,DECATUR,,IN,46733,,dc98218761380bfd
-84.9605096,40.8230507,1019,W COMMERCE DR,,DECATUR,,IN,46733,,8f90ea39ac03d0ab
-84.9334529,40.8026532,,E WOODSTONE LN,,DECATUR,,IN,46733,,3af80767f9243d8c
-84.9238255,40.843236,,N PIQUA RD,,DECATUR,,IN,46733,,7b15f635c6351562
-84.9446133,40.8121108,,W 450 N,,DECATUR,,IN,46733,,3d32479f0db96e9e
-84.9346751,40.7903135,205,E 300 N,,DECATUR,,IN,46733,,a22ec5526f6354cd
-84.9255765,40.8242946,,NIBLICK ST,,DECATUR,,IN,46733,,c9665a656c323def
-84.954346,40.8334133,,W US HIGHWAY 224,,DECATUR,,IN,46733,,02cde91949014954
-84.8803337,40.5921278,,S 275 E,,GENEVA,,IN,46740,,0cceb00cb9c5063a
